doy,doy_adj2,doy_adj3
93,93.5,94
94,93.5,94
95,95.5,94
96,95.5,97
97,97.5,97
98,97.5,97
99,99.5,100
100,99.5,100
101,101.5,100
102,101.5,103
103,103.5,103
104,103.5,103
105,105.5,106
106,105.5,106
107,107.5,106
108,107.5,109
109,109.5,109
110,109.5,109
111,111.5,112
112,111.5,112
113,113.5,112
114,113.5,115
115,115.5,115
116,115.5,115
117,117.5,118
118,117.5,118
119,119.5,118
120,119.5,121
121,121.5,121
122,121.5,121
123,123.5,124
124,123.5,124
125,125.5,124
126,125.5,127
127,127.5,127
128,127.5,127
129,129.5,130
130,129.5,130
131,131.5,130
132,131.5,133
133,133.5,133
134,133.5,133
135,135.5,136
136,135.5,136
137,137.5,136
138,137.5,139
139,139.5,139
140,139.5,139
141,141.5,142
142,141.5,142
143,143.5,142
144,143.5,145
145,145.5,145
146,145.5,145
147,147.5,148
148,147.5,148
149,149.5,148
150,149.5,151
151,151.5,151
152,151.5,151
153,153.5,154
154,153.5,154
155,155.5,154
156,155.5,157
157,157.5,157
158,157.5,157
159,159.5,160
160,159.5,160
161,161.5,160
162,161.5,163
163,163.5,163
164,163.5,163
165,165.5,166
166,165.5,166
167,167.5,166
168,167.5,169
169,169.5,169
170,169.5,169