"","fit.fit","fit.lwr","fit.upr","se.fit","df","residual.scale","tag_length","fit.real","lwr.real","upr.real"
"1",3.26139263485729,2.61688507411963,3.90590019559494,0.304026581269651,16,0.604353137444268,76,26.0858399083406,13.693004392298,49.694794818464
"2",3.2185606174219,2.59793927063404,3.83918196420975,0.292758995892807,16,0.604353137444268,77,24.9921210556586,13.4360214826225,46.4874304993132
"3",3.1757285999865,2.57871115767308,3.77274604229993,0.281624581311598,16,0.604353137444268,78,23.9442593014222,13.1801400856756,43.499352037756
"4",3.13289658255111,2.55916589062234,3.70662727447988,0.270639774399136,16,0.604353137444268,79,22.9403319636983,12.9250319277343,40.7162499518039
"5",3.09006456511572,2.53926324213928,3.64086588809216,0.259823551164656,16,0.604353137444268,80,21.9784969741545,12.6703325640695,38.1248342772598
"6",3.04723254768032,2.51895667465465,3.575508420706,0.249197864272399,16,0.604353137444268,81,21.0569894981172,12.4156363557557,35.7127733141334
"7",3.00440053024493,2.49819226406746,3.51060879642241,0.238788150755333,16,0.604353137444268,82,20.1741186963435,12.1604911222755,33.4686371694829
"8",2.96156851280954,2.4769074667488,3.44622955887028,0.228623913643113,16,0.604353137444268,83,19.3282646225638,11.9043927034629,31.3818455611916
"9",2.91873649537415,2.45502973406061,3.38244325668768,0.218739375520161,16,0.604353137444268,84,18.5178752511038,11.6467798497889,29.4426191821303
"10",2.87590447793875,2.43247500045218,3.31933395542532,0.209174191719537,16,0.604353137444268,85,17.7414636291315,11.3870301371441,27.64193366601
"11",2.83307246050336,2.40914610768125,3.25699881332546,0.1999741936481,16,0.604353137444268,86,16.997605148303,11.1244579990754,25.9714748171667
"12",2.79024044306797,2.38493128473693,3.195549601399,0.191192105836012,16,0.604353137444268,87,16.2849349308031,10.8583165072094,24.4235932452709
"13",2.74740842563257,2.35970288642287,3.13511396484228,0.182888140971263,16,0.604353137444268,88,15.6021453249824,10.5878052043822,22.9912558875864
"14",2.70457640819718,2.33331670591631,3.07583611047805,0.175130324178753,16,0.604353137444268,89,14.9479835059964,10.3120870365287,21.6679911742441
"15",2.66174439076179,2.30561231127666,3.01787647024691,0.167994334282738,16,0.604353137444268,90,14.321249177045,10.0303180493498,20.4478239854325
"16",2.61891237332639,2.27641498700639,2.9614097596464,0.161562587935328,16,0.604353137444268,91,13.7207923669929,9.7416936347193,19.3251964429649
"17",2.576080355891,2.24553993274947,2.90662077903254,0.155922259009853,16,0.604353137444268,92,13.1455113203314,9.44551412230532,18.2948715798209
"18",2.53324833845561,2.21279928927297,2.85369738763825,0.151161964310555,16,0.604353137444268,93,12.5943504756083,9.14126966897404,17.3518197850363
"19",2.49041632102021,2.17801221571677,2.80282042632366,0.14736700994059,16,0.604353137444268,94,12.0662985286188,8.82873917574523,16.4910931542451
"20",2.44758430358482,2.14101756208184,2.7541510450878,0.144613413446158,16,0.604353137444268,95,11.5603865768008,8.50809073612449,15.7077001115707
"21",2.40475228614943,2.10168774009037,2.70781683220849,0.142961360665683,16,0.604353137444268,96,11.075686341433,8.17996392199087,14.9964998750202
"22",2.36192026871404,2.05994149254403,2.66389904488404,0.142449182178531,16,0.604353137444268,97,10.6113084643709,7.84551077601385,14.3521397829549
"23",2.31908825127864,2.01575287000373,2.62242363255356,0.143089118832971,16,0.604353137444268,98,10.1664008761971,7.50637658014378,13.7690543063005
"24",2.27625623384325,1.96915423791,2.58335822977649,0.144865903229762,16,0.604353137444268,99,9.74014723279176,7.16461436593116,13.2415316820937
"25",2.23342421640786,1.92023253647991,2.5466158963358,0.147738524000574,16,0.604353137444268,100,9.33176541745307,6.82254477539271,12.7638364676559
"26",2.19059219897246,1.86911975700751,2.51206464093741,0.15164471831975,16,0.604353137444268,101,8.94050610582128,6.48258763476664,12.3303615672764
"27",2.14776018153707,1.81597991749677,2.47954044557737,0.156507115748132,16,0.604353137444268,102,8.5656513909716,6.14709687485181,11.9357780177204
"28",2.10492816410168,1.76099522533699,2.44886110286636,0.16223976556454,16,0.604353137444268,103,8.20651346615393,5.81822495885488,11.575156297054
"29",2.06209614666628,1.70435364258704,2.41983865074553,0.168754002459763,16,0.604353137444268,104,7.86243336276223,5.49783095473506,11.2440449502427
"30",2.01926412923089,1.64623914055133,2.39228911791045,0.175963043640012,16,0.604353137444268,105,7.53277974121794,5.18743388570534,10.9385048330092
"31",1.9764321117955,1.58682500812463,2.36603921546637,0.183785145409086,16,0.604353137444268,106,7.21694773254886,4.88820425548357,10.6551060168801
"32",1.9336000943601,1.52626993542372,2.34093025329649,0.192145450594428,16,0.604353137444268,107,6.91435782853793,4.60098281184814,10.3908982354707
"33",1.89076807692471,1.46471628239217,2.31681987145725,0.200976805279484,16,0.604353137444268,108,6.62445481840547,4.32631561424267,10.1433657536743
"34",1.84793605948932,1.40228988261066,2.29358223636798,0.210219851350138,16,0.604353137444268,109,6.34670677007395,4.06449653869833,9.9103754774515
"35",1.80510404205393,1.33910081416204,2.27110726994582,0.219822662862853,16,0.604353137444268,110,6.08060405414588,3.81561101898459,9.69012445957731
"36",1.76227202461853,1.27524470306288,2.24929934617418,0.22974013119103,16,0.604353137444268,111,5.82565840880411,3.57957723645209,9.48109054624227
"37",1.71944000718314,1.21080425777635,2.22807575658992,0.239933241165835,16,0.604353137444268,112,5.58140204391868,3.35618280351773,9.28198807979352
"38",1.67660798974775,1.14585084254721,2.20736513694828,0.250368328903894,16,0.604353137444268,113,5.34738678271638,3.14511621742891,9.0917293438986
"39",1.63377597231235,1.08044597752514,2.18710596709957,0.261016374170336,16,0.604353137444268,114,5.12318323943812,2.94599310485,8.90939169601215
"40",1.59094395487696,1.01464270808419,2.16724520166973,0.271852354444548,16,0.604353137444268,115,4.90838003147523,2.75837767524737,8.73418993692521
"41",1.54811193744157,0.94848682032629,2.14773705455684,0.282854671543841,16,0.604353137444268,116,4.70258302453906,2.58179997479084,8.56545329561193
